rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
1,"spotify:track:4ddBsPV13qO8SGaVf6ZQnl","JO1","BE CLASSIC","LAPONE ENTERTAINMENT",1,1,4
2,"spotify:track:0rKd1nvnZjqyBX1ifSw6Zc","かささぎ児童合唱クラブ","声は風 ～映画『片思い世界』劇中歌～","リトルモア・レコーズ",2,-1,1
3,"spotify:track:2BBIUV8wIBbqc7HXObzdgH","AiScReam","愛♡スクリ～ム！","Lantis",1,2,25
4,"spotify:track:3ZnyjmRl3n5OVKfPtxF4Zu","厚揚げろが。","はじまりの曲","厚揚げろが。",3,3,4
5,"spotify:track:0Uf1Ahkx4qWECgGFVxrjmo","神蚊","Money love","神蚊",2,4,11
6,"spotify:track:6VfvgM4Mp8usz7kEd6XRMy","河野純喜 (JO1), Sakura Kiryu","Princess Problems","Walt Disney Records",6,6,4
7,"spotify:track:1gFVXBVuYlDUIEdwOrN5T8","雨良","ダイダイダイダイダイキライ","Project.9",5,5,4
8,"spotify:track:4sTlQPMyoFMPdhAJvErBN3","ATLXS","PASSO BEM SOLTO - Slowed","broke",3,7,18
9,"spotify:track:0KBawRsiH5aUNgFy6H4mIv","ME:I","MUSE","LAPONE GIRLS",4,8,11
10,"spotify:track:1WusF1nfwF70ojSCSFhmLW","MXZI","MONTAGEM TOMADA","Enarma Records",10,10,2
11,"spotify:track:1xVHi6ppc8sZS33qCm2IyJ","King & Prince","HEART","Universal Music LLC",2,9,18
12,"spotify:track:0jj4mLjwYcos3PPzjQwVzh","M!LK","イイじゃん","Colourful Records",1,11,39
13,"spotify:track:6clugiccBmX1LBw2RfeGhx","Sakura Kiryu, 河野純喜 (JO1)","A Hand Meets A Hand","Walt Disney Records",11,12,4
14,"spotify:track:65l6nF6k64nG94aY1rD7ZB","LOM, S-Liam, MUKADE, Albert Connor","LV - Remix","LOM & S-Liam",8,14,14
15,"spotify:track:3AI2f6wRAXUjGkQvhRuGJn","Miyauchi","大丈夫","Miyauchi",7,13,7
16,"spotify:track:6xLSq48LkhwFTwKx442veN","Number_i","GOD_i","TOBE MUSIC",2,16,60
17,"spotify:track:2ZJbofezdK8vMOBVss9yuP","WOLF HOWL HARMONY from EXILE TRIBE","BAKUON -爆音-","rhythm zone",17,18,4
18,"spotify:track:0ttdSB0wMNA7Z2qdyYdDOO","JO1","無限大(INFINITY) 2025","LAPONE ENTERTAINMENT",5,15,25
19,"spotify:track:2XUx8PCXGpP1XhZJMGiUol","Malcolm Todd","Chest Pain (I Love)","Columbia",16,17,5
20,"spotify:track:5Fhr3wqeieN5WDkAsqL1JJ","j-hope","MONA LISA","BIGHIT MUSIC",17,19,4
21,"spotify:track:0WLD0nNozBZKmAos1PQbL2","神が残した夢を喰う。","雨","神が残した夢を喰う。",13,21,107
22,"spotify:track:6dU5iw0cdtrhGvhFWhwYLB","やみの おねえさん","きょういくばんぐみのテーマ","2025 やみの おねえさん",1,20,74
23,"spotify:track:0lEljxbetOCqpMVQFCyE16","SpecialThanks","LOVE GOOD TIME","VAP",16,22,15
24,"spotify:track:1UPB5rYJ0bzn6mNSoAHrZC","NIKI","You'll Be in My Heart - Spotify Singles","88rising Music",24,27,3
25,"spotify:track:73ANNS9cngYCi9zhcN9mx7","和輝","愛されて、","和輝",25,47,2
